cliente_id,nome,cpf,email,telefone,cidade,estado,data_cadastro
28,Cliente 28,777.479.170-74,,(21) 96590-1207,Niterói,RJ,2022-05-27
29,Cliente 29,208.543.470-91,,(21) 98532-3506,Curitiba,PR,2022-09-30
30,Cliente 30,851.634.766-44,,(21) 99817-8921,Curitiba,PR,2020-12-26
31,Cliente 31,945.848.706-44,,(21) 96280-5022,Curitiba,PR,2022-06-11
32,Cliente 32,561.349.868-69,,(21) 97209-6511,Rio de Janeiro,RJ,2021-07-25
33,Cliente 33,971.432.286-72,,(21) 94475-6813,Rio de Janeiro,RJ,2022-10-09
34,Cliente 34,386.710.818-45,,(21) 91166-9464,Belo Horizonte,MG,2021-11-28
35,Cliente 35,347.837.516-72,,(21) 94937-8800,São Paulo,SP,2020-06-24
36,Cliente 36,911.117.195-47,,(21) 94630-7625,Curitiba,PR,2022-07-06
37,Cliente 37,779.695.477-70,,(21) 99698-6632,São Paulo,SP,2021-09-19
38,Cliente 38,438.460.819-68,,(21) 95438-6023,Curitiba,PR,2023-02-01
39,Cliente 39,223.838.297-50,,(21) 92958-9779,Belo Horizonte,MG,2021-04-17
40,Cliente 40,321.856.595-45,,(21) 99595-5636,São Paulo,SP,2021-01-27
41,Cliente 41,403.332.469-32,,(21) 95952-1231,Rio de Janeiro,RJ,2021-02-01
42,Cliente 42,380.146.155-80,,(21) 95786-3068,Niterói,RJ,2020-09-16
43,Cliente 43,993.112.687-46,,(21) 98690-8843,Curitiba,PR,2020-07-29
44,Cliente 44,288.152.358-71,,(21) 92869-2070,Curitiba,PR,2021-11-28
45,Cliente 45,175.690.744-97,,(21) 91878-3485,Curitiba,PR,2022-10-04
46,Cliente 46,411.187.354-25,,(21) 97818-4697,São Paulo,SP,2023-02-26
47,Cliente 47,561.553.404-85,,(21) 98025-6003,Niterói,RJ,2022-02-18
48,Cliente 48,161.724.857-22,,(21) 94404-4457,Niterói,RJ,2023-06-25
49,Cliente 49,183.260.345-32,,(21) 92229-3564,Belo Horizonte,MG,2023-09-14
50,Cliente 50,561.805.708-70,,(21) 95771-1534,Rio de Janeiro,RJ,2022-04-16
51,Cliente 51,823.389.819-68,,(21) 92166-4824,São Paulo,SP,2021-08-13
52,Cliente 52,703.777.923-35,,(21) 97965-2880,Belo Horizonte,MG,2023-07-04
53,Cliente 53,763.252.372-28,,(21) 92169-1977,Niterói,RJ,2021-04-05
54,Cliente 54,709.866.944-82,,(21) 95728-8195,São Paulo,SP,2021-09-21
55,Cliente 55,805.411.816-61,,(21) 95460-9199,Rio de Janeiro,RJ,2022-08-17
56,Cliente 56,548.182.712-15,,(21) 98078-6280,Niterói,RJ,2022-10-08
57,Cliente 57,126.193.334-96,,(21) 91339-5415,Niterói,RJ,2021-05-27
58,Cliente 58,881.874.279-70,,(21) 99502-8245,Niterói,RJ,2020-03-23
59,Cliente 59,699.546.750-72,,(21) 92494-8700,Belo Horizonte,MG,2021-01-06
60,Cliente 60,441.428.786-23,,(21) 93634-6403,Belo Horizonte,MG,2022-04-16
61,Cliente 61,395.778.510-80,,(21) 91601-8451,Curitiba,PR,2022-10-11
62,Cliente 62,358.431.218-61,,(21) 99431-1018,Rio de Janeiro,RJ,2021-10-06
63,Cliente 63,523.155.292-76,,(21) 96927-9167,Niterói,RJ,2022-08-04
64,Cliente 64,308.373.662-26,,(21) 95719-8178,Curitiba,PR,2020-04-15
65,Cliente 65,129.745.723-40,,(21) 93594-6091,Curitiba,PR,2020-09-05
66,Cliente 66,665.517.195-38,,(21) 92858-8560,Niterói,RJ,2020-01-29
67,Cliente 67,952.257.610-47,,(21) 99337-5479,Rio de Janeiro,RJ,2023-08-19
68,Cliente 68,583.349.567-80,,(21) 93369-7284,Curitiba,PR,2022-09-15
69,Cliente 69,620.864.239-18,,(21) 95526-7798,São Paulo,SP,2023-05-12
70,Cliente 70,373.940.102-46,,(21) 95891-9022,Belo Horizonte,MG,2022-11-05
71,Cliente 71,651.595.453-52,,(21) 99903-7180,São Paulo,SP,2022-07-03
72,Cliente 72,990.293.814-40,,(21) 97274-4826,Curitiba,PR,2021-10-21
73,Cliente 73,425.862.584-58,,(21) 97325-3492,Curitiba,PR,2020-03-30
74,Cliente 74,229.614.704-52,,(21) 92644-8213,Curitiba,PR,2020-03-16
75,Cliente 75,567.115.839-28,,(21) 97717-3529,Rio de Janeiro,RJ,2022-12-13
76,Cliente 76,900.371.446-89,,(21) 97512-2315,Rio de Janeiro,RJ,2022-08-19
77,Cliente 77,979.646.489-50,,(21) 98994-9864,Belo Horizonte,MG,2023-10-13
78,Cliente 78,170.340.746-97,,(21) 95708-4727,Rio de Janeiro,RJ,2023-06-18
79,Cliente 79,200.878.748-22,,(21) 98269-3725,Rio de Janeiro,RJ,2022-06-07
80,Cliente 80,147.432.915-17,,(21) 95806-6873,Belo Horizonte,MG,2020-02-29
81,Cliente 81,249.350.643-62,,(21) 93950-3785,Belo Horizonte,MG,2022-06-01
82,Cliente 82,724.991.491-89,,(21) 94945-9153,São Paulo,SP,2020-06-10
83,Cliente 83,337.572.753-42,,(21) 98529-5183,Niterói,RJ,2020-10-20
84,Cliente 84,394.793.659-30,,(21) 92210-8237,Rio de Janeiro,RJ,2022-08-10
85,Cliente 85,406.754.534-98,,(21) 95097-8484,Belo Horizonte,MG,2023-04-18
86,Cliente 86,493.973.594-23,,(21) 94886-7248,Belo Horizonte,MG,2021-02-11
87,Cliente 87,688.402.816-47,,(21) 91359-7484,Niterói,RJ,2022-01-05
88,Cliente 88,679.985.802-16,,(21) 99138-5689,Belo Horizonte,MG,2020-01-17
89,Cliente 89,921.460.324-91,,(21) 94115-5106,São Paulo,SP,2023-05-28
90,Cliente 90,199.742.761-15,,(21) 96061-8222,São Paulo,SP,2023-07-10
91,Cliente 91,473.849.234-21,,(21) 95835-6352,Rio de Janeiro,RJ,2023-04-01
92,Cliente 92,305.235.905-79,,(21) 96994-9697,Curitiba,PR,2020-12-25
93,Cliente 93,950.268.363-71,,(21) 95835-6549,Niterói,RJ,2021-07-12
94,Cliente 94,177.244.872-38,,(21) 97511-6992,Rio de Janeiro,RJ,2022-08-17
95,Cliente 95,114.370.649-25,,(21) 98451-7038,Rio de Janeiro,RJ,2022-03-19
96,Cliente 96,490.942.753-57,,(21) 92775-4830,Belo Horizonte,MG,2023-04-12
97,Cliente 97,734.674.435-88,,(21) 94626-2035,Curitiba,PR,2020-02-21
98,Cliente 98,764.518.219-27,,(21) 91742-1609,Curitiba,PR,2021-09-10
99,Cliente 99,218.199.340-78,,(21) 93222-7367,Belo Horizonte,MG,2022-10-05
100,Cliente 100,786.860.813-79,,(21) 97866-3531,Curitiba,PR,2022-01-29
101,Cliente 101,201.953.601-88,,(21) 97686-5583,Curitiba,PR,2023-09-03
102,Cliente 102,322.554.555-40,,(21) 96942-2627,Rio de Janeiro,RJ,2022-01-28
103,Cliente 103,760.467.162-60,,(21) 95520-4109,Belo Horizonte,MG,2023-01-20
104,Cliente 104,193.778.317-92,,(21) 91349-1828,Rio de Janeiro,RJ,2022-07-20
105,Cliente 105,228.905.678-36,,(21) 92124-4394,Belo Horizonte,MG,2021-05-13
106,Cliente 106,932.990.338-52,,(21) 93417-1046,Niterói,RJ,2021-03-18
107,Cliente 107,233.653.356-32,,(21) 92801-1422,Belo Horizonte,MG,2020-10-23
108,Cliente 108,466.908.907-40,,(21) 96304-1258,São Paulo,SP,2020-01-31
109,Cliente 109,153.229.859-63,,(21) 99619-2862,São Paulo,SP,2021-06-27
110,Cliente 110,559.896.470-75,,(21) 92786-8405,Rio de Janeiro,RJ,2022-09-02
111,Cliente 111,729.144.844-94,,(21) 99543-5941,Niterói,RJ,2021-03-29
112,Cliente 112,131.162.590-61,,(21) 97984-2768,Curitiba,PR,2023-08-10
113,Cliente 113,175.182.429-87,,(21) 93430-2076,Curitiba,PR,2022-06-27
114,Cliente 114,739.748.699-80,,(21) 96327-7240,São Paulo,SP,2021-07-17
115,Cliente 115,401.564.617-87,,(21) 98048-2624,Niterói,RJ,2022-12-22
116,Cliente 116,766.998.887-80,,(21) 94522-8046,Rio de Janeiro,RJ,2023-09-02
117,Cliente 117,523.447.947-68,,(21) 97532-7815,Curitiba,PR,2021-04-12
118,Cliente 118,537.420.781-42,,(21) 97132-3500,Rio de Janeiro,RJ,2021-10-02
119,Cliente 119,193.951.187-21,,(21) 98075-2582,Curitiba,PR,2020-05-17
120,Cliente 120,669.161.700-81,,(21) 96400-3002,Belo Horizonte,MG,2020-09-23
121,Cliente 121,994.781.868-64,,(21) 91842-5712,Curitiba,PR,2021-12-25
122,Cliente 122,460.206.691-74,,(21) 94485-3535,Niterói,RJ,2021-10-01
123,Cliente 123,967.210.458-81,,(21) 97022-2882,Curitiba,PR,2021-04-04
124,Cliente 124,331.926.539-81,,(21) 91430-5381,Belo Horizonte,MG,2023-03-21
125,Cliente 125,379.819.880-49,,(21) 96567-6751,Rio de Janeiro,RJ,2021-01-04
126,Cliente 126,990.246.679-94,,(21) 97566-2140,Rio de Janeiro,RJ,2021-01-06
127,Cliente 127,131.193.864-77,,(21) 94524-7163,São Paulo,SP,2023-07-20
128,Cliente 128,449.261.478-49,,(21) 96314-2391,Curitiba,PR,2022-07-18
129,Cliente 129,261.872.732-16,,(21) 92336-5458,Rio de Janeiro,RJ,2020-11-14
130,Cliente 130,534.597.721-66,,(21) 97785-5475,Curitiba,PR,2023-09-17
131,Cliente 131,216.453.540-24,,(21) 95640-8972,São Paulo,SP,2022-11-15
132,Cliente 132,415.146.325-60,,(21) 91897-1125,Niterói,RJ,2023-09-28
133,Cliente 133,316.885.240-42,,(21) 95742-6375,São Paulo,SP,2021-09-09
134,Cliente 134,609.864.540-32,,(21) 93116-7229,Rio de Janeiro,RJ,2020-01-16
135,Cliente 135,612.672.953-95,,(21) 96802-2180,Niterói,RJ,2021-04-16
136,Cliente 136,546.119.570-19,,(21) 96129-8033,Curitiba,PR,2020-03-27
137,Cliente 137,826.755.527-47,,(21) 92887-7636,Niterói,RJ,2022-04-08
138,Cliente 138,275.920.732-68,,(21) 96928-2443,Rio de Janeiro,RJ,2021-10-27
139,Cliente 139,349.546.703-61,,(21) 99584-2288,Curitiba,PR,2020-08-04
140,Cliente 140,863.447.326-52,,(21) 93754-2251,Curitiba,PR,2021-09-27
141,Cliente 141,216.643.622-34,,(21) 96724-6752,Niterói,RJ,2023-07-20
142,Cliente 142,205.249.362-35,,(21) 93842-3504,São Paulo,SP,2021-04-28
143,Cliente 143,891.743.605-69,,(21) 98354-6295,Rio de Janeiro,RJ,2020-12-28
144,Cliente 144,550.169.580-66,,(21) 95961-5500,Belo Horizonte,MG,2020-11-05
145,Cliente 145,460.619.175-49,,(21) 98565-8404,Niterói,RJ,2020-04-25
146,Cliente 146,477.951.393-19,,(21) 92479-9307,Rio de Janeiro,RJ,2020-04-26
147,Cliente 147,694.667.910-15,,(21) 98368-4084,Curitiba,PR,2022-08-05
148,Cliente 148,587.613.254-17,,(21) 98381-2695,Belo Horizonte,MG,2023-05-24
149,Cliente 149,616.761.276-15,,(21) 95059-8172,Belo Horizonte,MG,2020-06-21
150,Cliente 150,635.724.262-56,,(21) 97108-5634,Curitiba,PR,2022-12-09
151,Cliente 151,893.446.795-86,,(21) 91857-6482,Curitiba,PR,2022-04-17
152,Cliente 152,196.671.794-59,,(21) 95655-5128,Rio de Janeiro,RJ,2021-11-06
153,Cliente 153,441.183.696-94,,(21) 93317-6731,Niterói,RJ,2020-11-03
154,Cliente 154,815.778.501-26,,(21) 92388-6072,Belo Horizonte,MG,2023-09-05
155,Cliente 155,758.910.436-26,,(21) 99624-2531,Niterói,RJ,2022-02-10
156,Cliente 156,470.118.471-49,,(21) 93953-4509,Curitiba,PR,2022-11-07
157,Cliente 157,296.331.240-29,,(21) 92264-5846,Belo Horizonte,MG,2022-09-22
158,Cliente 158,889.652.955-77,,(21) 91618-6517,Rio de Janeiro,RJ,2022-11-05
159,Cliente 159,711.485.257-30,,(21) 93962-3712,Niterói,RJ,2020-09-25
160,Cliente 160,520.473.792-40,,(21) 98277-5668,Curitiba,PR,2020-03-30
161,Cliente 161,646.344.416-70,,(21) 94178-7026,Curitiba,PR,2021-04-24
162,Cliente 162,572.887.388-58,,(21) 99239-9641,Niterói,RJ,2022-06-21
163,Cliente 163,936.304.920-87,,(21) 93267-5096,Curitiba,PR,2020-11-27
164,Cliente 164,592.995.480-80,,(21) 92680-9452,Rio de Janeiro,RJ,2023-08-06
165,Cliente 165,185.881.264-44,,(21) 98361-9410,Rio de Janeiro,RJ,2021-08-06
166,Cliente 166,193.327.936-67,,(21) 96727-1436,São Paulo,SP,2022-06-14
167,Cliente 167,505.614.482-40,,(21) 97326-2337,Curitiba,PR,2020-04-19
168,Cliente 168,128.426.201-93,,(21) 96493-3392,Belo Horizonte,MG,2021-04-04
169,Cliente 169,393.949.583-99,,(21) 93273-8685,São Paulo,SP,2020-03-19
170,Cliente 170,105.181.119-42,,(21) 94533-3449,Curitiba,PR,2023-06-14
171,Cliente 171,640.533.213-46,,(21) 94893-5934,Niterói,RJ,2023-05-31
172,Cliente 172,344.529.754-89,,(21) 98489-2029,Rio de Janeiro,RJ,2020-04-07
173,Cliente 173,711.648.116-90,,(21) 99443-4963,Rio de Janeiro,RJ,2022-10-20
174,Cliente 174,539.101.729-55,,(21) 94941-7825,São Paulo,SP,2021-08-19
175,Cliente 175,784.187.636-56,,(21) 92108-9618,São Paulo,SP,2023-09-22
176,Cliente 176,905.619.667-12,,(21) 97397-8702,Niterói,RJ,2022-11-05
177,Cliente 177,496.482.359-12,,(21) 96850-2106,Rio de Janeiro,RJ,2023-07-25
178,Cliente 178,850.772.743-23,,(21) 96447-3185,Belo Horizonte,MG,2021-05-08
179,Cliente 179,659.446.933-92,,(21) 93868-8612,Rio de Janeiro,RJ,2021-12-22
180,Cliente 180,286.930.238-18,,(21) 98498-1605,Curitiba,PR,2023-07-17
181,Cliente 181,144.910.304-15,,(21) 96170-6080,Belo Horizonte,MG,2021-02-16
182,Cliente 182,934.656.584-42,,(21) 91599-4131,Niterói,RJ,2022-03-26
183,Cliente 183,982.899.148-93,,(21) 96438-5476,Belo Horizonte,MG,2022-01-01
184,Cliente 184,547.509.861-66,,(21) 97334-6554,Rio de Janeiro,RJ,2022-01-23
185,Cliente 185,808.609.476-76,,(21) 95369-2353,São Paulo,SP,2022-10-13
186,Cliente 186,540.716.942-33,,(21) 99937-5813,Curitiba,PR,2020-06-10
187,Cliente 187,181.435.776-47,,(21) 96021-8305,Belo Horizonte,MG,2020-07-29
188,Cliente 188,270.806.554-54,,(21) 98325-1693,Niterói,RJ,2022-05-22
189,Cliente 189,545.381.754-17,,(21) 92229-7655,Belo Horizonte,MG,2023-06-13
190,Cliente 190,920.867.795-30,,(21) 91510-3339,Belo Horizonte,MG,2022-11-16
191,Cliente 191,900.548.135-26,,(21) 92101-4866,Niterói,RJ,2023-10-20
192,Cliente 192,492.680.133-87,,(21) 93513-8371,Belo Horizonte,MG,2022-01-11
193,Cliente 193,554.881.178-83,,(21) 93255-9674,Belo Horizonte,MG,2022-01-31
194,Cliente 194,421.765.385-41,,(21) 92858-1424,Belo Horizonte,MG,2022-03-26
195,Cliente 195,630.496.675-25,,(21) 95288-5264,São Paulo,SP,2022-10-19
196,Cliente 196,726.392.810-72,,(21) 94279-3009,Curitiba,PR,2021-03-15
197,Cliente 197,562.276.830-66,,(21) 92438-6236,São Paulo,SP,2020-05-31
198,Cliente 198,663.655.397-48,,(21) 93580-3852,Belo Horizonte,MG,2020-05-12
199,Cliente 199,329.224.305-27,,(21) 94878-9094,Belo Horizonte,MG,2022-11-07
200,Cliente 200,667.686.477-69,,(21) 93126-2412,Rio de Janeiro,RJ,2022-01-09
201,Cliente 201,507.834.836-71,,(21) 99612-7730,Rio de Janeiro,RJ,2021-09-25
202,Cliente 202,175.228.424-92,,(21) 92215-8372,Curitiba,PR,2023-03-23
203,Cliente 203,629.452.231-80,,(21) 93981-3114,Curitiba,PR,2023-10-24
204,Cliente 204,989.156.951-25,,(21) 99488-3507,Curitiba,PR,2022-10-26
205,Cliente 205,265.430.826-38,,(21) 96669-9501,Belo Horizonte,MG,2020-12-03
206,Cliente 206,356.301.750-80,,(21) 95496-3050,Belo Horizonte,MG,2020-06-10
207,Cliente 207,646.195.614-92,,(21) 93762-3526,Belo Horizonte,MG,2023-06-12
208,Cliente 208,739.837.719-53,,(21) 91674-1464,São Paulo,SP,2023-09-11
209,Cliente 209,756.889.690-43,,(21) 94453-7825,Rio de Janeiro,RJ,2020-04-03
210,Cliente 210,131.609.742-79,,(21) 95745-5949,Niterói,RJ,2023-08-01
211,Cliente 211,924.926.801-61,,(21) 95873-8430,Curitiba,PR,2021-05-16
212,Cliente 212,261.550.525-71,,(21) 98609-4342,Rio de Janeiro,RJ,2020-05-02
213,Cliente 213,247.420.982-50,,(21) 96658-7532,Belo Horizonte,MG,2023-05-27
214,Cliente 214,627.675.208-50,,(21) 94960-8642,São Paulo,SP,2022-01-28
215,Cliente 215,560.353.244-22,,(21) 91829-5754,Rio de Janeiro,RJ,2021-07-01
216,Cliente 216,528.354.986-30,,(21) 96364-6123,Curitiba,PR,2023-06-14
217,Cliente 217,610.627.578-73,,(21) 96055-9148,São Paulo,SP,2020-11-22
218,Cliente 218,502.617.568-40,,(21) 94524-6781,Rio de Janeiro,RJ,2020-07-03
219,Cliente 219,388.606.711-93,,(21) 98710-5681,Rio de Janeiro,RJ,2020-04-13
220,Cliente 220,967.210.541-27,,(21) 95333-6992,Niterói,RJ,2020-01-17
221,Cliente 221,146.510.152-82,,(21) 94189-6939,Curitiba,PR,2022-01-19
222,Cliente 222,175.495.616-67,,(21) 95582-2946,Niterói,RJ,2021-08-14
223,Cliente 223,503.482.913-53,,(21) 96990-3363,São Paulo,SP,2020-07-17
224,Cliente 224,621.511.612-15,,(21) 91742-1637,São Paulo,SP,2023-05-18
225,Cliente 225,923.585.631-68,,(21) 93440-9446,São Paulo,SP,2021-11-13
226,Cliente 226,727.426.266-60,,(21) 95902-6511,São Paulo,SP,2021-11-02
227,Cliente 227,645.601.825-82,,(21) 95911-8780,Niterói,RJ,2022-11-09
228,Cliente 228,439.789.212-63,,(21) 96040-1436,Rio de Janeiro,RJ,2022-01-24
229,Cliente 229,371.771.901-84,,(21) 94728-1841,Niterói,RJ,2022-08-29
230,Cliente 230,274.636.744-89,,(21) 97229-3421,Niterói,RJ,2022-09-10
231,Cliente 231,686.817.212-34,,(21) 91310-8225,São Paulo,SP,2020-03-05
232,Cliente 232,255.522.807-36,,(21) 97723-9221,Belo Horizonte,MG,2022-05-07
233,Cliente 233,993.968.853-17,,(21) 93262-9498,Niterói,RJ,2022-08-23
234,Cliente 234,432.778.589-77,,(21) 97173-6140,São Paulo,SP,2023-02-22
235,Cliente 235,645.450.659-55,,(21) 95331-8932,São Paulo,SP,2022-07-30
236,Cliente 236,385.671.405-38,,(21) 95876-5735,São Paulo,SP,2021-05-19
237,Cliente 237,424.591.457-81,,(21) 95480-5715,São Paulo,SP,2022-09-28
238,Cliente 238,792.656.488-60,,(21) 96654-3399,Rio de Janeiro,RJ,2023-03-20
239,Cliente 239,394.831.180-54,,(21) 98247-5201,Belo Horizonte,MG,2020-03-27
240,Cliente 240,306.947.651-44,,(21) 95450-3249,Curitiba,PR,2021-03-14
241,Cliente 241,858.700.345-41,,(21) 91831-9700,Rio de Janeiro,RJ,2023-06-14
242,Cliente 242,338.153.202-62,,(21) 96411-8739,São Paulo,SP,2023-07-30
243,Cliente 243,889.240.105-80,,(21) 93587-7666,Rio de Janeiro,RJ,2023-10-27
244,Cliente 244,766.304.874-46,,(21) 96262-5676,Curitiba,PR,2022-09-04
245,Cliente 245,767.687.337-78,,(21) 91611-3868,Rio de Janeiro,RJ,2020-07-02
246,Cliente 246,137.956.506-73,,(21) 94052-5742,Curitiba,PR,2020-12-26
247,Cliente 247,405.681.717-23,,(21) 96489-5662,Rio de Janeiro,RJ,2020-01-19
248,Cliente 248,656.636.605-27,,(21) 99261-8668,Curitiba,PR,2023-08-06
249,Cliente 249,928.215.438-30,,(21) 98518-5215,Belo Horizonte,MG,2021-01-29
250,Cliente 250,854.445.909-47,,(21) 94164-3875,São Paulo,SP,2020-01-29
251,Cliente 251,515.946.537-75,,(21) 96372-2421,Niterói,RJ,2023-08-01
252,Cliente 252,197.289.243-71,,(21) 96301-5064,Curitiba,PR,2023-10-02
253,Cliente 253,492.341.557-44,,(21) 96400-5947,Rio de Janeiro,RJ,2021-06-18
254,Cliente 254,111.367.769-56,,(21) 94871-2017,Niterói,RJ,2023-03-19
255,Cliente 255,414.263.515-97,,(21) 99233-6095,Rio de Janeiro,RJ,2022-08-11
256,Cliente 256,402.476.729-38,,(21) 94590-3188,Rio de Janeiro,RJ,2023-08-01
257,Cliente 257,565.865.720-57,,(21) 97813-9998,Curitiba,PR,2020-11-09
258,Cliente 258,921.780.945-37,,(21) 95054-2341,Curitiba,PR,2023-01-05
259,Cliente 259,640.820.470-19,,(21) 92838-2011,Niterói,RJ,2022-07-03
260,Cliente 260,307.686.649-29,,(21) 93695-6375,Niterói,RJ,2022-11-01
261,Cliente 261,219.796.310-84,,(21) 99008-2489,Niterói,RJ,2022-06-23
262,Cliente 262,928.156.564-26,,(21) 99409-7806,Niterói,RJ,2022-07-01
263,Cliente 263,159.672.573-96,,(21) 96049-1356,Curitiba,PR,2023-02-28
264,Cliente 264,936.103.863-37,,(21) 92196-1742,Curitiba,PR,2021-06-05
265,Cliente 265,817.165.654-17,,(21) 92130-8734,Curitiba,PR,2021-12-06
266,Cliente 266,518.284.887-27,,(21) 97887-7135,Rio de Janeiro,RJ,2021-08-10
267,Cliente 267,990.486.484-20,,(21) 99835-3178,Curitiba,PR,2022-07-07
268,Cliente 268,282.650.502-77,,(21) 93086-4648,Belo Horizonte,MG,2020-08-30
269,Cliente 269,405.574.789-79,,(21) 97948-9715,Rio de Janeiro,RJ,2020-02-16
270,Cliente 270,353.571.454-29,,(21) 95516-4088,Curitiba,PR,2021-04-15
271,Cliente 271,928.776.529-88,,(21) 91256-4943,Rio de Janeiro,RJ,2020-03-06
272,Cliente 272,203.708.134-67,,(21) 91797-5009,São Paulo,SP,2020-05-17
273,Cliente 273,549.339.652-37,,(21) 91924-3295,Rio de Janeiro,RJ,2022-04-03
274,Cliente 274,339.935.849-83,,(21) 96224-6253,Niterói,RJ,2021-08-15
275,Cliente 275,997.246.776-76,,(21) 94621-7775,São Paulo,SP,2021-09-10
276,Cliente 276,162.670.705-32,,(21) 97999-9120,Belo Horizonte,MG,2021-07-17
277,Cliente 277,758.787.490-77,,(21) 96222-7821,Rio de Janeiro,RJ,2021-12-06
278,Cliente 278,407.485.288-78,,(21) 98758-4948,Curitiba,PR,2020-11-01
279,Cliente 279,978.824.247-69,,(21) 91944-7761,São Paulo,SP,2021-09-07
280,Cliente 280,642.237.497-41,,(21) 95177-4331,Curitiba,PR,2023-02-15
281,Cliente 281,180.560.967-57,,(21) 92514-9775,Belo Horizonte,MG,2023-08-17
282,Cliente 282,374.486.789-87,,(21) 91647-2192,São Paulo,SP,2020-04-15
283,Cliente 283,841.787.672-37,,(21) 98854-4422,São Paulo,SP,2023-04-18
284,Cliente 284,115.316.294-25,,(21) 98846-4974,Belo Horizonte,MG,2021-09-12
285,Cliente 285,506.345.665-51,,(21) 95637-7236,Niterói,RJ,2021-02-22
286,Cliente 286,764.467.415-43,,(21) 96892-9401,Curitiba,PR,2022-12-28
287,Cliente 287,200.922.839-70,,(21) 96246-4328,Curitiba,PR,2022-08-12
288,Cliente 288,523.146.676-38,,(21) 93390-1265,Belo Horizonte,MG,2021-10-02
289,Cliente 289,698.693.837-63,,(21) 95836-3497,Belo Horizonte,MG,2023-02-07
290,Cliente 290,335.488.683-41,,(21) 99180-6530,São Paulo,SP,2021-11-06
291,Cliente 291,840.757.857-72,,(21) 98550-3756,Belo Horizonte,MG,2022-09-27
292,Cliente 292,243.837.659-72,,(21) 94015-9882,Belo Horizonte,MG,2020-12-12
293,Cliente 293,134.959.967-19,,(21) 91794-1104,Rio de Janeiro,RJ,2022-12-09
294,Cliente 294,962.745.336-18,,(21) 93474-1149,Curitiba,PR,2020-10-08
295,Cliente 295,566.482.161-89,,(21) 98916-8993,São Paulo,SP,2022-11-01
296,Cliente 296,644.664.521-11,,(21) 91274-9673,Rio de Janeiro,RJ,2020-01-14
297,Cliente 297,393.117.614-99,,(21) 98054-3937,Belo Horizonte,MG,2023-01-02
298,Cliente 298,636.252.346-34,,(21) 99625-5135,Rio de Janeiro,RJ,2020-07-16
299,Cliente 299,914.506.180-57,,(21) 97652-8520,Belo Horizonte,MG,2021-07-01
300,Cliente 300,813.331.407-97,,(21) 92320-1519,Niterói,RJ,2021-05-13
301,Cliente 301,488.486.665-70,,(21) 91919-1154,Rio de Janeiro,RJ,2022-04-10
302,Cliente 302,611.965.544-92,,(21) 96427-2562,São Paulo,SP,2020-06-18
303,Cliente 303,335.316.988-98,,(21) 98790-5441,Niterói,RJ,2020-03-28
304,Cliente 304,800.387.656-82,,(21) 91539-3938,Rio de Janeiro,RJ,2020-06-01
305,Cliente 305,312.701.247-60,,(21) 92260-5903,Belo Horizonte,MG,2020-02-02
